"","N2_CTR_1","N2_CTR_3","N2_CTR_4","N2_HS_1","N2_HS_3","N2_HS_4"
"WBGene00009484",6.82253870919383,0,2.7986173226695,1.37083873262281,11.2028502739258,9.74884468217148
"WBGene00009799",23.8788854821784,35.9872848774974,23.0885929120234,52.091871839667,22.4057005478516,11.9152546115429
"WBGene00001081",2111.57573049549,1634.65320924325,2041.5913368874,2445.5762989991,1667.35754910262,1863.11253925944
"WBGene00009800",41.6174861260824,41.5237902432662,88.1564456640894,259.088520465712,108.294219314616,101.821266680458
"WBGene00014377",0,0,0,0,5.60142513696289,0
"WBGene00009801",611.299468343767,374.406175360117,425.389833045765,848.549175493522,743.122401503744,1263.01698882355
"WBGene00202214",0,0,0,16.4500647914738,0,9.74884468217148
"WBGene00196526",0,0,0,2.74167746524563,0,0
"WBGene00006881",23.196631611259,0,5.59723464533901,38.3834845134388,24.2728422601725,15.1648695056001
"WBGene00002271",878.742985744165,1072.00585144699,773.817689718118,671.710978985179,390.232617875082,451.696470273945
"WBGene00002270",36.8417090296467,29.7587163410074,24.4879015733582,54.8335493049126,9.33570856160482,14.0816645409144
"WBGene00201120",0,0,0,0,7.46856684928386,2.16640992937144
"WBGene00011082",27.9724087076947,18.6857056094698,26.5868645653603,31.5292908503247,5.60142513696289,16.2480744702858
"WBGene00011076",172.610229342604,195.161814143351,170.71565668284,112.408776075071,98.9585107530111,41.1617886580574
"WBGene00001784",850.088323165551,813.866288768018,813.697986566158,7564.28812661269,7522.71395894117,9435.79844737731
"WBGene00196919",0,0,0,54.8335493049126,16.8042754108887,30.3297390112002
"WBGene00011077",2.04676161275815,0.692063170721103,0,128.858840866545,117.629927876221,212.308173078401
"WBGene00011078",2.04676161275815,0,0,56.2043880375354,29.8742673971354,37.9121737640002
"WBGene00011079",2.04676161275815,0,0,50.7210331070441,22.4057005478516,20.5808943290287
"WBGene00138711",11.5983158056295,1.38412634144221,0,404.39742612373,63.4828182189128,57.4098631283432
"WBGene00001608",48.4400248352762,44.2920429261506,30.7847905493645,42.4960007113073,56.0142513696289,56.3266581636574
"WBGene00011083",42.2997399970018,41.5237902432662,30.0851362186972,41.1251619786844,87.7556604790853,79.0739624220575
"WBGene00196952",0,0,0,0,0,1.08320496468572
"WBGene00011081",251.069424498333,64.3618748770626,41.9792598400426,78.1378077595004,252.06413116333,159.231129808801
"WBGene00003410",2384.47727886324,2940.57641239397,3236.60093366728,376.980651471274,961.577981845297,563.266581636574
"WBGene00009023",221.05025417788,161.250718778017,121.040199205456,108.296259877202,360.358350477946,245.887526983658
"WBGene00009024",0,0,0,124.746324668676,13.0699919862468,3.24961489405716
"WBGene00009025",62.7673561245832,50.5206114626405,53.1737291307206,74.025291561632,42.9442593833822,74.7411425633147
"WBGene00009026",33.4304396750498,33.9110953653341,27.986173226695,45.2376781765529,24.2728422601725,16.2480744702858
