,WB_ID,common_name,transcript,status,description,baseMean,log2FoldChange,padj,N2_CTR_1,N2_CTR_3,N2_CTR_4,N2_HS_1,N2_HS_3,N2_HS_4,change,cat
1157,WBGene00044713,,ZK1225.9,Live,pseudogene,1.827784977,4.848376336,0.30814499,0,0,0,10.96670986,0,0,no_change,
515,WBGene00014686,,C25F9.t5,Live,pseudogene,1.847463345,4.848328165,0.209859397,0,0,0,5.48335493,5.601425137,0,no_change,
1284,WBGene00077442,,F11D11.16,Live,pseudogene,1.779846016,4.813206251,,0,0,0,9.595871128,0,1.083204965,no_change,
1388,WBGene00194844,,Y55F3C.13,Live,pseudogene,1.786363624,4.799343498,,0,0,0,0,7.468566849,3.249614894,no_change,
357,WBGene00011567,nhr-215,T07C5.4,Live,pseudogene,1.764746181,4.787391534,,0,0,0,6.854193663,3.734283425,0,no_change,
237,WBGene00008112,,C46C2.4,Live,pseudogene,1.784424549,4.786962218,,0,0,0,1.370838733,9.335708562,0,no_change,
1220,WBGene00045185,,VY10G11R.4,Live,pseudogene,1.784424549,4.786962218,,0,0,0,1.370838733,9.335708562,0,no_change,
269,WBGene00009019,,F21D9.5,Live,pseudogene,1.731907054,4.776277923,,0,0,0,8.225032396,0,2.166409929,no_change,
614,WBGene00014892,,Y43F8C.t4,Live,pseudogene,1.731907054,4.776277923,,0,0,0,8.225032396,0,2.166409929,no_change,
1314,WBGene00077572,,T08G5.14,Live,pseudogene,1.731907054,4.776277923,,0,0,0,8.225032396,0,2.166409929,no_change,
566,WBGene00014796,,K03D7.3,Live,pseudogene,1.751585422,4.770326629,,0,0,0,2.741677465,5.601425137,2.166409929,no_change,
1297,WBGene00077501,,K08H10.11,Live,pseudogene,3.464606255,4.753768928,0.056036401,0.682253871,0,0,12.33754859,5.601425137,2.166409929,no_change,
988,WBGene00023266,,F07E5.10,Live,pseudogene,1.71680722,4.747083913,,0,0,0,5.48335493,3.734283425,1.083204965,no_change,
1245,WBGene00045363,,F11D11.13,Live,pseudogene,1.683968093,4.738325325,,0,0,0,6.854193663,0,3.249614894,no_change,
206,WBGene00007238,,C01G10.13,Live,pseudogene,1.703646461,4.733174538,,0,0,0,1.370838733,5.601425137,3.249614894,no_change,
146,WBGene00005918,srx-27,R05D8.12,Live,pseudogene,1.682029018,4.723791618,,0,0,0,8.225032396,1.867141712,0,no_change,
1257,WBGene00050903,,Y17D7C.4,Live,pseudogene,3.301111003,4.697239202,0.103050632,0.682253871,0,0,13.70838733,0,5.416024823,no_change,
104,WBGene00005588,sri-76,D2062.10,Live,pseudogene,1.655707499,4.696895104,,0,0,0,0,5.601425137,4.332819859,no_change,
1033,WBGene00023341,,T05H4.t1,Live,pseudogene,1.655707499,4.696895104,,0,0,0,0,5.601425137,4.332819859,no_change,
745,WBGene00017505,,F16B4.3,Live,pseudogene,1.634090057,4.684095541,,0,0,0,6.854193663,1.867141712,1.083204965,no_change,
1053,WBGene00023382,,Y57E12AL.3,Live,pseudogene,1.634090057,4.684095541,,0,0,0,6.854193663,1.867141712,1.083204965,no_change,
58,WBGene00005322,srh-103,F21H7.13,Live,pseudogene,1.599311855,4.655828159,,0,0,0,9.595871128,0,0,no_change,
598,WBGene00014862,,Y7A9C.2,Live,pseudogene,1.599311855,4.655828159,,0,0,0,9.595871128,0,0,no_change,
